,year,Arctozenus risso,Argentina sialis,Argyropelecus affinis,Argyropelecus hemigymnus,Argyropelecus sladeni,Bathylagoides wesethi,Bathylagus pacificus,Benthalbella dentata,Brosmophycis marginata,Ceratoscopelus townsendi,Chauliodus macouni,Chiasmodon subniger,Chilara taylori,Chromis punctipinnis,Citharichthys,Citharichthys sordidus,Citharichthys stigmaeus,Cololabis saira,Cottidae,Cyclothone,Cyclothone signata,Danaphos oculatus,Diaphus,Diogenichthys atlanticus,Electrona risso,Engraulis mordax,Genyonemus lineatus,Hippoglossina stomata,Hygophum reinhardtii,Hypsoblennius jenkinsi,Icelinus quadriseriatus,Icichthys lockingtoni,Idiacanthus antrostomus,Lepidogobius lepidus,Lestidiops ringens,Leuroglossus stilbius,Lipolagus ochotensis,Lyopsetta exilis,Melamphaes,Melamphaes lugubris,Melamphaes parvus,Merluccius productus,Microstoma,Microstomus pacificus,Myctophidae,Myctophum nitidulum,Nannobrachium,Nannobrachium regale,Nannobrachium ritteri,Nansenia candida,Notoscopelus resplendens,Ophidion scrippsae,Oxyjulis californica,Oxylebius pictus,Paralabrax,Paralichthys californicus,Parophrys vetulus,Peprilus simillimus,Pleuronichthys coenosus,Pleuronichthys verticalis,Poromitra crassiceps,Protomyctophum crockeri,Rathbunella,Rhinogobiops nicholsii,Ruscarius creaseri,Sardinops sagax,Scomber japonicus,Scopelogadus mizolepis bispinosus,Scopelosaurus,Scorpaenichthys marmoratus,Sebastes,Sebastes aurora,Sebastes diploproa,Sebastes goodei,Sebastes jordani,Sebastes levis,Sebastes paucispinis,Sebastolobus,Sphyraena argentea,Stenobrachius leucopsarus,Sternoptychidae,Sternoptyx,Stomias atriventer,Symbolophorus californiensis,Symphurus atricaudus,Tarletonbeania crenularis,Tetragonurus cuvieri,Trachipterus altivelis,Trachurus symmetricus,Triphoturus mexicanus,Vinciguerria lucetia,Zaniolepis latipinnis
0,1951,0.0,1.421192468305749,0.0,0.0,0.0,1.8907741985853723,1.7481880270062005,0.0,1.421603926869831,1.8943006749939695,1.3781219986913442,1.3117538610557542,0.0,1.7791152784862605,1.8677758390486756,0.0,0.0,1.3655659761781531,1.6811909689014408,1.877140203721062,0.0,0.0,1.789935177509173,1.7566765124860058,1.2558752733914667,2.7786227537815837,0.0,0.0,1.321701969500738,0.0,0.0,1.8078437596026617,1.524706170226751,0.0,0.0,2.780838065317824,1.6272028856386391,1.3528013487740314,1.5120051412337763,0.0,0.0,2.735652388046984,1.35930836189418,1.4333888069817522,1.4635944021870002,1.3765769570565118,1.716013079275876,0.0,0.0,1.3886734076447607,1.7015679850559273,1.1789769472931695,0.0,0.0,0.0,1.276461804173244,0.0,0.0,1.229425847920695,1.2648178230095366,0.0,1.6248111225261281,0.0,0.0,0.0,2.117291817992626,1.4564925573781253,0.0,0.0,1.425289616446794,2.459900779973645,1.5610957021037566,1.8017221346820667,2.48826861549546,2.3679423161107276,1.3929166823217287,1.7747522008775145,1.7055251783417262,1.2648178230095366,2.7387976125104174,1.534079013954343,0.0,1.3790031895226378,1.824035626638452,0.0,1.9365777715427124,1.5664374921950703,0.0,2.6713075224371696,1.9750777798804098,2.1763344249028678,0.0
1,1952,0.0,1.6270242958343457,0.0,0.0,0.0,2.1513800664171576,1.4718502892477132,0.0,1.7513524335710056,1.8716519750077378,1.6079761956652128,1.4771212547196624,1.432568465297358,1.8717553126039082,1.9878289280818562,0.0,0.0,1.475445186656071,2.015219998535312,2.047236505666422,0.0,0.0,1.9639732572066049,1.823846306624971,0.0,2.749273711140601,0.0,0.0,1.546542663478131,0.0,0.0,1.8499825753589996,1.6663131867639376,0.0,0.0,2.9451686079351127,1.9350576364531495,1.619083387873691,1.6787281560281746,0.0,0.0,3.6805919046971165,1.805160901599434,1.5581083016305497,1.6464367174748646,1.4340363540203143,1.947945556446001,1.8129133566428555,1.429752280002408,1.7093013758177484,1.503790683057181,0.0,0.0,1.4116197059632303,1.9052560487484511,1.4593924877592308,1.5605541939196115,2.02201573981772,1.49182842626168,0.0,0.0,1.6726233610263352,0.0,0.0,0.0,2.407466443798991,1.8129690318537393,1.456366033129043,0.0,1.6256553601637789,2.4426107929913057,1.8037196720205382,1.803177693895288,0.0,2.219624200421703,1.5266622930104643,1.8048985456315483,1.6878075515647504,2.1981069988734014,2.7042291818221065,1.47790469047846,0.0,1.6852190769087632,1.956351810781333,0.0,2.141884328330892,1.5229655954919865,0.0,2.6215656349812937,2.0555476033241225,2.106171276263514,0.0
2,1953,0.0,1.6065604925546388,0.0,0.0,0.0,1.861404193367126,1.5638764377038281,0.0,1.6012993101943376,1.837220057556251,1.5150999932232645,0.0,0.0,1.844228581301628,2.099113690358828,0.0,0.0,1.7003224813803652,2.069971765653604,1.5609953158791057,0.0,0.0,1.8299868470517189,1.6373646266794684,0.0,3.1452005568149572,0.0,1.4313637641589874,0.0,0.0,0.0,1.877397430076248,1.6882220108027965,0.0,0.0,2.863725001014086,1.8823814631658395,1.7739636537898964,1.620277617849726,0.0,0.0,3.097179848174991,1.436162647040756,1.5676144427308445,1.5924543505545048,0.0,1.7507393260609312,0.0,1.5826314394896364,1.569520210604101,0.0,0.0,0.0,1.4992287242836109,1.8375884382355112,1.6294095991027189,1.8281441073037863,1.9469432706978254,1.7076766077813275,1.4638929889859074,0.0,1.7002900378811134,0.0,0.0,0.0,0.0,1.456366033129043,0.0,0.0,1.8444771757456813,2.609877497716228,1.7968864135733442,1.9247717398527717,1.8300573255788188,2.636188866031577,1.6640148354010766,2.022564756975634,1.865548114255671,0.0,2.5189226692698043,1.623636880322692,0.0,1.5797835966168101,1.6138418218760693,1.3283796034387376,1.8950701379864232,1.3710678622717363,0.0,2.018834451540442,1.8238519448753228,1.7574434797061447,0.0
3,1954,0.0,1.374289987675311,0.0,0.0,0.0,2.111418817882863,1.5445847540863062,0.0,1.755951041004132,2.1604685311190375,1.5686025767143572,0.0,2.068927611682072,1.8836472422915793,2.074613807921349,1.7064312460612554,1.961860966852375,1.5583656613310606,1.7831091863643898,1.738582386232743,0.0,0.0,2.036609886959405,1.5983344587511328,0.0,3.277756291118109,0.0,1.456366033129043,1.54282542695918,0.0,0.0,1.9489016711686922,1.5211380837040362,0.0,0.0,2.3960701995113936,1.8274344735754926,1.8761985895230469,1.5967773171278055,0.0,0.0,2.5042609862020315,1.5018007199150527,1.864189592089764,1.5364690074162821,0.0,1.647415573581615,1.699114745041209,1.8230190577551206,1.9181942153128815,0.0,2.1058506743851435,0.0,0.0,1.5378190950732742,1.621384028481653,1.7616773079942545,1.3668896896533802,1.461648568063455,1.8039689536356527,0.0,1.7125644888621272,0.0,0.0,0.0,2.997892326701634,1.7109318241307763,0.0,0.0,1.6414741105040995,2.733677129260992,1.5615237403765092,1.9623318404348065,1.688822230905031,2.575127576846289,1.5634151583382077,2.1265630071789556,1.6788975762019878,1.4593924877592308,2.6491346281987007,1.4224256763712047,0.0,1.7771850776116231,1.6104871559548988,1.6618126855372612,1.8292483839516656,1.4633952302129047,0.0,2.8831235622613165,1.8787873197442202,1.9995654882259823,0.0
4,1955,0.0,1.5352941200427705,0.0,0.0,0.0,1.960335981038829,1.4683473304121573,0.0,0.0,1.5582584466560394,1.5839210522188478,0.0,1.7678976160180906,0.0,1.8633130535710385,1.5041309059354528,1.870965883079343,1.7832781164810925,1.9208187539523751,1.7042935415346216,0.0,0.0,1.9084515072090547,1.5632832741944966,0.0,3.1982229282990797,0.0,1.4487063199050798,0.0,0.0,0.0,1.9256245785486064,1.4955443375464486,0.0,0.0,2.6040584717765167,1.9545335604881982,1.9004191524325151,1.6728757423856113,0.0,0.0,2.5713120107944003,1.6670792054642167,1.815895826676371,1.6488477083728936,1.3961993470957363,2.6984050542123486,1.6527296960692475,1.7127607392610344,1.707995746422929,0.0,0.0,0.0,0.0,0.0,2.028266163475984,1.6336061592689197,1.72956972630197,1.4742162640762553,1.5843312243675307,0.0,1.707694850594107,0.0,0.0,0.0,2.663450036740331,2.2879616027396525,1.4385423487861106,1.481442628502305,1.6798819421128623,2.537429231523983,1.8496946140926236,1.9160235285605012,1.8864515554333885,2.597410234784164,1.5918063569624095,1.9632877120913728,1.926170890438592,0.0,2.5106764143454496,1.727744530836107,0.0,1.4345689040341987,1.670967015942556,0.0,1.865486543443154,2.1390521960730124,0.0,2.574243537590465,1.9925114391108643,1.5276299008713388,0.0
5,1956,0.0,2.0153597554092144,0.0,0.0,0.0,1.8742949426088518,0.0,0.0,1.590618948206578,1.7881683711411678,1.6926528633739655,0.0,0.0,1.4857214264815801,1.7975560510930397,1.900919129874057,2.014214155792032,1.4805658292137678,1.5447344849900142,1.853495412574776,0.0,0.0,2.1742876095532737,1.8913422879345305,0.0,3.0265115796705473,0.0,1.4913616938342726,0.0,0.0,0.0,1.7835661398173643,1.4871383754771865,0.0,0.0,2.756991327317506,1.8939992661761536,1.758306181725307,1.8479066824252393,0.0,0.0,2.2832296405081727,1.678176818281727,1.8522766246413802,2.039777531718809,0.0,1.760422483423212,1.6519318714842086,1.8342007453418572,1.5845196793420233,0.0,0.0,0.0,1.6608654780038692,1.4683473304121573,1.5102097770893081,2.164345766216193,1.4771212547196624,1.3873898263387294,1.287801729930226,0.0,1.8275289866372817,0.0,0.0,0.0,2.9530849175056937,1.9159272116971158,1.7230449916434452,0.0,1.5630853728550487,2.591551925134878,1.945018565995008,1.9153794640852542,2.077908381847806,2.702011930188599,1.3926969532596656,2.13669465746232,1.832082924950745,0.0,2.636264749790155,1.4578818967339924,0.0,0.0,1.7787339398682267,0.0,2.021992457325396,2.201756105989698,0.0,2.4430519253091743,1.9786711614130152,1.898816563911115,0.0
6,1957,0.0,1.8224949852787506,0.0,0.0,0.0,2.0176678787421327,1.4517864355242902,0.0,1.6921857248101557,1.9322453956299626,1.7180447335139175,0.0,0.0,1.421603926869831,1.6724314076088493,1.9140653525707592,2.0420804227289735,1.629239654087088,2.00213725188009,1.7712092155154275,0.0,0.0,1.7962658854120213,1.7325813774006895,0.0,3.6891528770092714,0.0,0.0,0.0,0.0,0.0,1.925909136707983,1.555578072772955,0.0,0.0,2.9603003430946617,1.928122163465899,1.8882292364217554,1.750793633771209,0.0,0.0,3.092622457385088,1.492061604512599,1.7506516300020045,1.669342712208166,0.0,1.5145477526602862,1.5988512769978611,1.9102418412481534,2.0130479961152314,1.4099331233312946,1.496929648073215,0.0,1.775974331129369,1.7528164311882715,1.9768083373380663,2.278908624030737,1.5646660642520893,1.503109436671369,1.6047658847038873,0.0,1.8372283886101062,0.0,0.0,0.0,3.068126864746291,1.9843022319799033,1.5275224952860493,0.0,2.084695409599295,2.9558361537559703,1.8330408104847906,2.000251714435884,2.4801516836623407,2.8521002075354405,1.6519238051682956,2.330250305009605,1.711807229041191,0.0,2.8072400523998526,1.374748346010104,0.0,1.413299764081252,1.8680302065951193,1.5058280338548362,2.0127754794223485,1.7158641243735002,0.0,3.0056274158168583,2.0400275540499253,2.496521111153165,0.0
7,1958,0.0,1.6015167836500102,0.0,0.0,0.0,2.3563291287971264,1.584331224367531,0.0,1.5462958351214424,1.7056552778647445,1.5212965380677468,0.0,0.0,1.4099331233312946,1.669200619159474,1.76439854412171,1.7980851003403022,1.4835872969688941,1.6047658847038873,1.9036343035213212,0.0,0.0,1.6646106400474787,1.6838517697549018,0.0,3.368778606628592,0.0,1.656816638044169,1.443262987458695,0.0,0.0,1.6361036450945137,1.5643178765625472,0.0,0.0,2.142377678841544,1.696337755377728,1.5481846105451078,1.6622195667209279,0.0,0.0,3.166346051621931,1.501515693664812,1.5393897820725049,1.5624686018801524,1.5043953395863243,1.6503075231319364,1.540590140114048,1.8333010154805007,1.621695462329279,2.036429265626675,1.651762447380111,0.0,1.5600661162174507,1.4487063199050798,1.7409545058228053,1.645438645152035,1.4646385590950328,1.416640507338281,0.0,0.0,1.6680958423575254,0.0,0.0,0.0,2.465362684808148,1.925025447385288,1.5368108659915414,1.4424797690644486,1.5158738437116792,2.3847263730166057,1.7361118123405854,1.6533375199519265,1.8990905955630104,2.521976452999419,1.4760341590784483,1.8456663869279124,1.4586378490256493,1.6229619635717383,2.2291818754667028,1.6012902464366408,0.0,1.5000400706290586,1.7441955013178756,1.7585334222372866,1.5430994041011197,1.4764773784239573,0.0,2.2508649258628677,1.9848560687194055,2.691104469835199,0.0
8,1959,0.0,1.4676697557337692,0.0,0.0,1.4409090820652177,1.8134996392446965,1.635282637998212,0.0,1.5985169354268858,1.7581862012789402,1.4984369173963414,1.4927603890268375,1.4593924877592308,1.403120521175818,1.5756688445137694,1.5241363765925686,1.590771102536505,1.460897842756548,1.5387412533776514,1.7308885549292248,1.4588266316766998,0.0,1.6061302707714946,1.742632407344807,0.0,3.4707316701929445,0.0,1.414973347970818,1.456366033129043,1.401400540781544,0.0,1.6548781324330994,1.4790071393895141,0.0,1.5969111191266951,2.4950784863030226,1.5995373903497268,1.4987480199378,1.5583277331041419,1.4785664955938433,0.0,2.68565832841142,1.5769808650937018,1.488668204525482,1.5502028655418438,1.5174158495788355,1.490504712786453,1.523573061146692,1.7050895345297001,1.5987905067631152,1.4712917110589385,1.4776035362594007,1.449478399187365,1.46014581749175,1.6215224710973946,1.8930678899149709,1.5659658174466666,1.461648568063455,1.5092025223311027,1.4678546536923855,1.1760912590556813,1.6843843034216035,0.0,1.5013527374954379,0.0,2.325427082142076,1.7931239761453075,1.523959516462109,1.5327543789924976,0.0,2.255365103625478,1.686025206042416,1.6054642158265646,1.5692763482348977,1.9037995556612375,1.4668676203541096,1.8685912642191627,1.549493713215013,2.2212620559584035,2.1980266675506095,1.4942125888748958,0.0,1.633300091754294,1.7759779205624489,1.5626397648427315,1.7054627880329918,1.6090516467129177,0.0,2.0661067479510278,2.106023112613383,2.3986800061144504,1.3424226808222062
9,1960,1.187520720836463,1.5778506912566272,1.492061604512599,0.0,0.0,1.7297720531082863,0.0,1.423245873936808,1.421603926869831,1.8759702617829022,1.5450091442538585,0.0,1.3507324517161297,1.7939067395426609,1.4981956458693897,1.3820170425748683,1.5624383295064719,1.3636119798921444,1.4712917110589385,1.5784481853413272,1.9017647260133084,1.3996737214810382,1.8243461558002088,1.679362994201193,0.0,3.195682688484727,1.4292137870854282,1.657055852857104,1.4313637641589874,1.7481880270062005,0.0,1.613681823163604,1.7243714584946401,0.0,1.650927809081066,2.922349888877525,1.6245842147702014,1.476726261984928,1.5754380311958407,1.4479328655921802,1.5742242446168764,2.796345731775595,1.424881636631067,1.429483117005318,1.703323228397866,1.4608978427565478,1.5081704638732256,1.4574493324732287,1.754501229386917,1.4646385590950328,1.4548448600085102,1.5138831856110928,1.5042442543588819,1.421055228778014,0.0,1.3117538610557542,1.6471872978959894,0.0,1.2174839442139063,1.6732513632138493,1.4608978427565478,1.7021938164152977,1.440121603187804,1.440850070653767,1.46014581749175,2.3230989738544006,2.3066823110190553,1.424881636631067,1.4610230537944349,1.3824673220158301,2.120638951952728,1.4924693654403236,1.6836339173311101,1.7367449933107968,2.1536862305712674,1.3617802838748998,1.8454306020063638,1.5148132949992854,2.4720822371226023,2.2947023682880126,0.0,1.4620234446356337,1.6710184817815572,1.7746238317735312,1.4409090820652177,1.5639375071951207,1.551144908756322,1.556905269055448,2.571784367972874,1.922226719891039,2.5580747621493662,1.3873898263387294
